CRUISE,HAUL_NO,SPECIES,COMMON_NAME,TOTAL_NO
0002,1,2058,PYROSOMA,1
0002,1,2468,THETYS SALP,5
0002,1,2839,PURPLE-STRIPED JELLY,4
0002,2,2058,PYROSOMA,1
0002,2,2468,THETYS SALP,1
0002,2,2839,PURPLE-STRIPED JELLY,2
0002,3,1766,SEA NETTLE,1
0002,3,2468,THETYS SALP,53
0002,3,2839,PURPLE-STRIPED JELLY,4
0002,4,1766,SEA NETTLE,2
0002,4,2058,PYROSOMA,1
0002,4,2468,THETYS SALP,175
0002,4,2839,PURPLE-STRIPED JELLY,3
0002,5,2393,SALP,32
0002,5,2468,THETYS SALP,13
0002,6,1766,SEA NETTLE,1
0002,6,2058,PYROSOMA,3
0002,6,2468,THETYS SALP,36
0002,6,2839,PURPLE-STRIPED JELLY,1
0002,8,2468,THETYS SALP,235
0002,10,2468,THETYS SALP,3
0002,11,2393,SALP,17
0002,11,2468,THETYS SALP,6
0002,12,2058,PYROSOMA,1
0002,12,2393,SALP,7
0002,12,2468,THETYS SALP,14
0002,12,2840,MOON JELLY,1
0002,13,2393,SALP,1
0002,13,2468,THETYS SALP,2
0002,14,1869,HETEROPOD,1
0002,14,2468,THETYS SALP,3
0002,14,2839,PURPLE-STRIPED JELLY,1
0002,15,2468,THETYS SALP,47
0002,17,2468,THETYS SALP,1
0002,19,1766,SEA NETTLE,2
0002,19,2468,THETYS SALP,46
0002,20,1766,SEA NETTLE,13
0002,20,2468,THETYS SALP,66
0002,21,1869,HETEROPOD,1
0002,21,2393,SALP,1
0002,21,2468,THETYS SALP,17
0002,23,1869,HETEROPOD,1
0002,23,2393,SALP,1
0002,23,2468,THETYS SALP,13
0002,25,1766,SEA NETTLE,1
0002,25,1869,HETEROPOD,7
0002,25,2058,PYROSOMA,1
0002,25,2393,SALP,86
0002,25,2468,THETYS SALP,239
0002,25,2840,MOON JELLY,1
0002,26,2393,SALP,3
0002,26,2468,THETYS SALP,33
0002,26,2840,MOON JELLY,1
0002,27,2468,THETYS SALP,10
0002,27,2840,MOON JELLY,3
0002,28,1766,SEA NETTLE,1
0002,28,1869,HETEROPOD,1
0002,28,2468,THETYS SALP,92
0002,29,1869,HETEROPOD,2
0002,29,2393,SALP,1
0002,29,2468,THETYS SALP,111
0002,30,1869,HETEROPOD,1
0002,30,2468,THETYS SALP,522
0002,31,1869,HETEROPOD,7
0002,31,2058,PYROSOMA,1
0002,31,2468,THETYS SALP,208
0002,34,1766,SEA NETTLE,1
0002,34,1869,HETEROPOD,2
0002,34,2058,PYROSOMA,1
0002,34,2468,THETYS SALP,236
0002,34,2840,MOON JELLY,1
0002,35,2468,THETYS SALP,47
0002,36,2468,THETYS SALP,8
0002,36,2840,MOON JELLY,6
0002,37,1766,SEA NETTLE,105
0002,37,2840,MOON JELLY,133
0002,38,2468,THETYS SALP,15
0002,39,2468,THETYS SALP,13
0002,40,1766,SEA NETTLE,36
0002,40,2839,PURPLE-STRIPED JELLY,5
0002,40,2840,MOON JELLY,1
0002,41,1766,SEA NETTLE,3
0002,41,2058,PYROSOMA,1
0002,41,2839,PURPLE-STRIPED JELLY,2
0002,42,2468,THETYS SALP,30
0002,43,2468,THETYS SALP,63
0002,44,2468,THETYS SALP,13
0002,45,2468,THETYS SALP,8
0002,45,2839,PURPLE-STRIPED JELLY,1
0002,47,2468,THETYS SALP,28
0002,47,2839,PURPLE-STRIPED JELLY,1
0002,49,1766,SEA NETTLE,1
0002,49,2468,THETYS SALP,3
0002,49,2840,MOON JELLY,1
0002,50,2468,THETYS SALP,99
0002,51,2393,SALP,5
0002,51,2468,THETYS SALP,9
0002,51,2840,MOON JELLY,1
0002,52,2468,THETYS SALP,13
0002,53,1766,SEA NETTLE,1
0002,53,2468,THETYS SALP,78
0002,53,2839,PURPLE-STRIPED JELLY,3
0002,53,2840,MOON JELLY,3
0002,54,2058,PYROSOMA,1
0002,54,2468,THETYS SALP,2
0002,56,2468,THETYS SALP,6
0002,58,1869,HETEROPOD,1
0002,58,2393,SALP,4
0002,58,2468,THETYS SALP,32
0002,59,1766,SEA NETTLE,57
0002,59,1869,HETEROPOD,2
0002,59,2468,THETYS SALP,41
0002,59,2839,PURPLE-STRIPED JELLY,5
0002,59,2840,MOON JELLY,1
0002,60,2393,SALP,1
0002,60,2468,THETYS SALP,9
0002,62,1766,SEA NETTLE,9
0002,62,2468,THETYS SALP,97
0002,64,1766,SEA NETTLE,1
0002,64,2393,SALP,1
0002,64,2468,THETYS SALP,38
0002,65,1869,HETEROPOD,1
0002,65,2058,PYROSOMA,1
0002,65,2468,THETYS SALP,12
0002,66,1869,HETEROPOD,4
0002,66,2393,SALP,3
0002,66,2468,THETYS SALP,23
0002,67,2468,THETYS SALP,7
0002,68,2393,SALP,1
0002,68,2468,THETYS SALP,21
0002,68,2840,MOON JELLY,1
0002,69,2468,THETYS SALP,32
0002,69,2840,MOON JELLY,2
0002,70,1766,SEA NETTLE,13
0002,70,2839,PURPLE-STRIPED JELLY,6
0002,71,1766,SEA NETTLE,4
0002,71,2468,THETYS SALP,6
0002,71,2840,MOON JELLY,1
0002,72,1766,SEA NETTLE,1
0002,72,2468,THETYS SALP,29
0002,73,1766,SEA NETTLE,1
