CRUISE,HAUL_NO,VESSEL,HAUL_DATE,YEAR,MONTH,CTD_INDEX,STATION,DEPTH_STRATA,SWEEP,BOTTOM_DEPTH,PROBLEM,STANDARD_STATION
0002,1,DSJ,2000-05-11 00:00:00.000,2000,5,2,119,2,1,89,0,1
0002,2,DSJ,2000-05-11 00:00:00.000,2000,5,3,114,2,1,232,0,1
0002,3,DSJ,2000-05-12 00:00:00.000,2000,5,4,116,2,1,159,0,1
0002,4,DSJ,2000-05-12 00:00:00.000,2000,5,5,115,2,1,87,0,1
0002,5,DSJ,2000-05-12 00:00:00.000,2000,5,6,111,1,1,54,0,1
0002,6,DSJ,2000-05-12 00:00:00.000,2000,5,7,112,2,1,82,0,1
0002,8,DSJ,2000-05-12 00:00:00.000,2000,5,18,110,2,1,2320,0,1
0002,10,DSJ,2000-05-13 00:00:00.000,2000,5,19,109,2,1,400,0,1
0002,11,DSJ,2000-05-13 00:00:00.000,2000,5,20,113,2,1,960,0,1
0002,12,DSJ,2000-05-13 00:00:00.000,2000,5,NULL,117,2,1,1809,0,1
0002,13,DSJ,2000-05-13 00:00:00.000,2000,5,21,118,2,1,768,0,1
0002,14,DSJ,2000-05-13 00:00:00.000,2000,5,31,123,2,1,100,0,1
0002,15,DSJ,2000-05-13 00:00:00.000,2000,5,32,124,2,1,133,0,1
0002,17,DSJ,2000-05-14 00:00:00.000,2000,5,33,125,2,1,398,0,1
0002,19,DSJ,2000-05-14 00:00:00.000,2000,5,34,126,2,1,374,0,1
0002,20,DSJ,2000-05-14 00:00:00.000,2000,5,44,131,2,1,85,0,1
0002,21,DSJ,2000-05-14 00:00:00.000,2000,5,45,132,2,1,96,0,1
0002,23,DSJ,2000-05-15 00:00:00.000,2000,5,46,133,2,1,195,0,1
0002,25,DSJ,2000-05-15 00:00:00.000,2000,5,47,134,2,1,524,0,1
0002,26,DSJ,2000-05-15 00:00:00.000,2000,5,56,152,2,1,124,0,1
0002,27,DSJ,2000-05-15 00:00:00.000,2000,5,57,154,2,1,1243,0,1
0002,28,DSJ,2000-05-16 00:00:00.000,2000,5,58,156,2,1,107,0,1
0002,29,DSJ,2000-05-16 00:00:00.000,2000,5,59,160,2,1,91,0,1
0002,30,DSJ,2000-05-16 00:00:00.000,2000,5,60,162,2,1,1272,0,1
0002,31,DSJ,2000-05-16 00:00:00.000,2000,5,69,170,2,1,218,0,1
0002,34,DSJ,2000-05-16 00:00:00.000,2000,5,70,168,2,1,120,0,1
0002,35,DSJ,2000-05-17 00:00:00.000,2000,5,71,167,2,1,93,0,1
0002,36,DSJ,2000-05-17 00:00:00.000,2000,5,72,166,2,1,74,0,1
0002,37,DSJ,2000-05-17 00:00:00.000,2000,5,75,139,1,1,54,1,0
0002,38,DSJ,2000-05-17 00:00:00.000,2000,5,76,138,1,1,54,0,1
0002,39,DSJ,2000-05-17 00:00:00.000,2000,5,76,138,1,1,54,0,1
