STATION,LATITUDE,LONGITUDE,STATION_BOTTOM_DEPTH,STRATA,ACTIVE,AREA,NOTES
101,3618,12156.3,65,SC,Y,Point Sur,NULL
102,3618,12157.7,77,SC,N,Point Sur,NULL
103,3618,12200.9,102,SC,Y,Point Sur,NULL
104,3618,12205.4,354,SC,Y,Point Sur,NULL
105,3618,12211.5,828,SC,Y,Point Sur,NULL
106,3618,12218.5,928,SC,Y,Point Sur,NULL
109,3635,12202,608,C,Y,Monterey Bay Outside,NULL
110,3635,12210.5,2304,C,Y,Monterey Bay Outside,NULL
111,3638.7,12151.8,46,C,N,Monterey Bay Inside,In 2013 NOAA ships stopped sampling shallower than 50m
112,3639.3,12156.8,73,C,Y,Monterey Bay Inside,NULL
113,3638.8,12203,900,C,Y,Monterey Bay Outside,NULL
114,3646,12152,73,C,Y,Monterey Bay Inside,NULL
115,3642.5,12154.5,91,C,Y,Monterey Bay Inside,NULL
116,3644.4,12158.6,287,C,Y,Monterey Bay Inside,NULL
117,3642,12206.5,1920,C,Y,Monterey Bay Outside,NULL
118,3646.4,12209,966,C,N,Monterey Bay Outside,Stopped sampling in 2015
119,3650.8,12159,91,C,Y,Monterey Bay Inside,NULL
120,3654.8,12155.5,26,C,N,Davenport,NULL
121,3653.4,12205.2,77,C,N,Davenport,NULL
122,3659,12212.5,42,C,N,Davenport,Stopped sampling in 1997 due to jellyfish
123,3659,12217.5,82,C,Y,Davenport,NULL
124,3659,12222.5,128,C,Y,Davenport,NULL
125,3659,12225.5,446,C,Y,Davenport,NULL
126,3659,12235.5,432,C,Y,Davenport,NULL
127,3659,12245.5,1045,C,Y,Davenport,Resumed sampling in 2002
128,3659,12249,1395,C,N,Davenport,NULL
129,3659,12255.6,1858,C,N,Davenport,NULL
130,3716.5,12229,51,C,N,Pescadero,Stopped sampling in 1997 due to jellyfish
131,3716.5,12234,82,C,Y,Pescadero,NULL
132,3716.5,12239,95,C,Y,Pescadero,NULL
133,3716.5,12249,184,C,Y,Pescadero,NULL
134,3716.5,12259,518,C,Y,Pescadero,NULL
135,3716.5,12309,950,C,Y,Pescadero,Resumed sampling in 2002
136,3741.3,12233.5,25,C,N,Gulf of the Farallones,NULL
